Order Number,Ship From,Ship To,Commodity,Order Value,Weight (KG),Volume,Shipper Name,Shipper Address,Shipper Country,Consignee Country,Order Date,Required Delivery Date,Journey Type,Tax Percentage
163,Malaysia Railway Station,Wuxi Railway Station,Furniture,37925,972,92,YCH,8 Bulim Ave,Malaysia,Singapore,03-Jun-24,13-Jun-24,International,0.024997287381053897
164,Shanghai Warehouse,Malaysia Warehouse,Furniture,59581,1308,80,YCH,8 Bulim Ave,Malaysia,China,04-Jun-24,14-Jun-24,International,0.12135624956947438
165,Singapore Warehouse,Shanghai Airport,Textiles,20234,2838,54,YCH,8 Bulim Ave,Malaysia,Singapore,05-Jun-24,15-Jun-24,Domestic,0.04229096406221541
166,Wuxi Railway Station,Singapore Port,Furniture,42313,28,97,YCH,8 Bulim Ave,China,China,06-Jun-24,16-Jun-24,International,0.05492624882718604
167,Malaysia Railway Station,Singapore Port,Furniture,20428,591,61,YCH,8 Bulim Ave,Singapore,Singapore,07-Jun-24,17-Jun-24,Domestic,0.013090338715185751
168,Singapore Port,Singapore Airport,Pharmaceuticals,62164,3568,65,YCH,8 Bulim Ave,Singapore,China,08-Jun-24,18-Jun-24,Domestic,0.09628019053137347
169,Malaysia Warehouse,Singapore Railway Station,Furniture,29932,4849,32,YCH,8 Bulim Ave,China,Malaysia,09-Jun-24,19-Jun-24,International,0.1433681788356457
170,Wuxi Warehouse,Wuxi Port,Pharmaceuticals,57081,4946,78,YCH,8 Bulim Ave,China,Malaysia,10-Jun-24,20-Jun-24,Domestic,0.12370968967274498
171,Malaysia Warehouse,Malaysia Port,Electronics,20138,951,67,YCH,8 Bulim Ave,Singapore,Singapore,11-Jun-24,21-Jun-24,Domestic,0.03939924091955747
172,Shanghai Railway Station,Shanghai Port,Electronics,5068,1542,34,YCH,8 Bulim Ave,Malaysia,Singapore,12-Jun-24,22-Jun-24,Domestic,0.015832951807908217
173,Singapore Railway Station,Wuxi Railway Station,Pharmaceuticals,42566,1814,39,YCH,8 Bulim Ave,China,China,13-Jun-24,23-Jun-24,International,0.03238047021316868
174,Wuxi Warehouse,Wuxi Airport,Electronics,53684,2063,68,YCH,8 Bulim Ave,Malaysia,Singapore,14-Jun-24,24-Jun-24,International,0.01900784415388837
175,Wuxi Warehouse,Malaysia Railway Station,Pharmaceuticals,5051,2457,22,YCH,8 Bulim Ave,Malaysia,Singapore,15-Jun-24,25-Jun-24,International,0.07260508932363947
176,Wuxi Warehouse,Singapore Airport,Electronics,69371,3190,60,YCH,8 Bulim Ave,Malaysia,Singapore,16-Jun-24,26-Jun-24,International,0.1456082724969825
177,Wuxi Warehouse,Malaysia Warehouse,Pharmaceuticals,41886,4573,74,YCH,8 Bulim Ave,Singapore,Malaysia,17-Jun-24,27-Jun-24,International,0.1311602922594335
178,Wuxi Warehouse,Wuxi Railway Station,Pharmaceuticals,58209,325,61,YCH,8 Bulim Ave,Singapore,Malaysia,18-Jun-24,28-Jun-24,Domestic,0.1137930413075754
179,Singapore Warehouse,Singapore Airport,Textiles,57458,469,20,YCH,8 Bulim Ave,Singapore,China,19-Jun-24,29-Jun-24,International,0.06336441051318244
180,Wuxi Warehouse,Malaysia Port,Electronics,76454,272,59,YCH,8 Bulim Ave,Singapore,Singapore,20-Jun-24,30-Jun-24,International,0.06762432787372437
181,Shanghai Warehouse,Wuxi Railway Station,Textiles,97382,2984,42,YCH,8 Bulim Ave,Singapore,China,21-Jun-24,01-Jul-24,Domestic,0.11725758985283355
182,Wuxi Airport,Shanghai Railway Station,Furniture,41399,436,51,YCH,8 Bulim Ave,China,China,22-Jun-24,02-Jul-24,International,0.022484672136267037
183,Singapore Airport,Shanghai Warehouse,Pharmaceuticals,94044,1096,2,YCH,8 Bulim Ave,Malaysia,Malaysia,23-Jun-24,03-Jul-24,International,0.1275129473163161
184,Wuxi Port,Wuxi Railway Station,Electronics,42152,3643,32,YCH,8 Bulim Ave,China,Malaysia,24-Jun-24,04-Jul-24,International,0.13394005148419535
185,Singapore Warehouse,Singapore Port,Electronics,21484,4223,2,YCH,8 Bulim Ave,Singapore,China,25-Jun-24,05-Jul-24,International,0.03255755458199445
186,Shanghai Warehouse,Singapore Warehouse,Furniture,39599,559,61,YCH,8 Bulim Ave,Malaysia,Singapore,26-Jun-24,06-Jul-24,Domestic,0.09852342106302173
187,Malaysia Warehouse,Singapore Warehouse,Textiles,42651,4388,22,YCH,8 Bulim Ave,Malaysia,Singapore,27-Jun-24,07-Jul-24,Domestic,0.12462651451627842
188,Malaysia Railway Station,Wuxi Warehouse,Electronics,44947,2605,55,YCH,8 Bulim Ave,China,Singapore,28-Jun-24,08-Jul-24,International,0.05954494499801449
189,Shanghai Warehouse,Shanghai Airport,Electronics,61873,2284,13,YCH,8 Bulim Ave,Singapore,Singapore,29-Jun-24,09-Jul-24,Domestic,0.07375130666430979
190,Malaysia Railway Station,Singapore Port,Textiles,21138,3499,98,YCH,8 Bulim Ave,China,Singapore,30-Jun-24,10-Jul-24,Domestic,0.12959254911700574
191,Shanghai Railway Station,Singapore Port,Furniture,6591,4861,30,YCH,8 Bulim Ave,China,China,01-Jul-24,11-Jul-24,International,0.03431143875550237
192,Shanghai Airport,Shanghai Warehouse,Furniture,1815,1527,29,YCH,8 Bulim Ave,Malaysia,China,02-Jul-24,12-Jul-24,Domestic,0.10381301098335602
193,Shanghai Port,Singapore Airport,Pharmaceuticals,21522,95,57,YCH,8 Bulim Ave,China,Singapore,03-Jul-24,13-Jul-24,Domestic,0.0235099152936913
194,Wuxi Railway Station,Singapore Railway Station,Pharmaceuticals,61753,1784,20,YCH,8 Bulim Ave,Singapore,Singapore,04-Jul-24,14-Jul-24,Domestic,0.028863989741276963
195,Singapore Airport,Wuxi Airport,Electronics,85278,3074,81,YCH,8 Bulim Ave,Malaysia,China,05-Jul-24,15-Jul-24,International,0.02812272451089217
196,Singapore Port,Singapore Airport,Textiles,63456,2532,53,YCH,8 Bulim Ave,Malaysia,Malaysia,06-Jul-24,16-Jul-24,Domestic,0.011864856856769997
197,Singapore Railway Station,Wuxi Port,Electronics,13954,3638,85,YCH,8 Bulim Ave,Singapore,Malaysia,07-Jul-24,17-Jul-24,International,0.03082318266640203
198,Wuxi Railway Station,Wuxi Airport,Pharmaceuticals,73782,1867,12,YCH,8 Bulim Ave,Singapore,Malaysia,08-Jul-24,18-Jul-24,International,0.019412465231128818
199,Singapore Port,Wuxi Railway Station,Pharmaceuticals,80161,3502,58,YCH,8 Bulim Ave,Singapore,Malaysia,09-Jul-24,19-Jul-24,International,0.12351430699158666
200,Wuxi Airport,Shanghai Railway Station,Furniture,60564,4605,55,YCH,8 Bulim Ave,China,China,10-Jul-24,20-Jul-24,Domestic,0.12551232518972047
201,Singapore Airport,Shanghai Railway Station,Furniture,79646,1093,19,YCH,8 Bulim Ave,Malaysia,Singapore,11-Jul-24,21-Jul-24,Domestic,0.09937069388115387
202,Malaysia Port,Malaysia Airport,Textiles,90554,3857,58,YCH,8 Bulim Ave,Malaysia,Singapore,12-Jul-24,22-Jul-24,International,0.08486946313499111
203,Shanghai Airport,Wuxi Airport,Textiles,96340,2729,29,YCH,8 Bulim Ave,Malaysia,Singapore,13-Jul-24,23-Jul-24,Domestic,0.042470033113327824
204,Singapore Warehouse,Malaysia Railway Station,Textiles,56666,1761,34,YCH,8 Bulim Ave,China,Singapore,14-Jul-24,24-Jul-24,Domestic,0.14013917782288485
205,Shanghai Warehouse,Shanghai Warehouse,Pharmaceuticals,77014,3353,22,YCH,8 Bulim Ave,Malaysia,Singapore,15-Jul-24,25-Jul-24,International,0.0873314392568903
206,Singapore Airport,Singapore Airport,Furniture,7752,1365,71,YCH,8 Bulim Ave,Singapore,Singapore,16-Jul-24,26-Jul-24,International,0.011141500469084997
207,Singapore Warehouse,Malaysia Airport,Electronics,53738,3664,62,YCH,8 Bulim Ave,Malaysia,China,17-Jul-24,27-Jul-24,International,0.06325645297625702
208,Wuxi Railway Station,Malaysia Airport,Pharmaceuticals,30934,2390,31,YCH,8 Bulim Ave,Singapore,China,18-Jul-24,28-Jul-24,Domestic,0.02354536695779172
209,Shanghai Warehouse,Wuxi Railway Station,Textiles,19497,1900,9,YCH,8 Bulim Ave,China,China,19-Jul-24,29-Jul-24,International,0.10623403361503958
210,Malaysia Port,Malaysia Railway Station,Textiles,84827,2350,82,YCH,8 Bulim Ave,China,China,20-Jul-24,30-Jul-24,Domestic,0.12113829154341636
211,Singapore Warehouse,Singapore Warehouse,Textiles,47324,2465,47,YCH,8 Bulim Ave,Malaysia,Malaysia,21-Jul-24,31-Jul-24,International,0.017550035824921956
212,Malaysia Port,Wuxi Airport,Textiles,70939,2933,60,YCH,8 Bulim Ave,Malaysia,Singapore,22-Jul-24,01-Aug-24,Domestic,0.1306867992880452
213,Malaysia Warehouse,Malaysia Railway Station,Textiles,82499,1661,88,YCH,8 Bulim Ave,Malaysia,Singapore,23-Jul-24,02-Aug-24,Domestic,0.08521040306180114
214,Malaysia Airport,Singapore Warehouse,Furniture,81765,2394,87,YCH,8 Bulim Ave,China,China,24-Jul-24,03-Aug-24,Domestic,0.10487839243036853
215,Malaysia Port,Shanghai Airport,Furniture,47001,3484,64,YCH,8 Bulim Ave,Malaysia,Malaysia,25-Jul-24,04-Aug-24,International,0.0879550713467502
216,Wuxi Warehouse,Malaysia Port,Pharmaceuticals,70001,3901,97,YCH,8 Bulim Ave,Malaysia,Malaysia,26-Jul-24,05-Aug-24,International,0.13182316440085942
217,Wuxi Railway Station,Shanghai Airport,Textiles,72535,594,93,YCH,8 Bulim Ave,Malaysia,Singapore,27-Jul-24,06-Aug-24,Domestic,0.013079191007950044
218,Wuxi Railway Station,Singapore Port,Electronics,90690,1452,58,YCH,8 Bulim Ave,Malaysia,China,28-Jul-24,07-Aug-24,Domestic,0.12386542386613865
219,Singapore Warehouse,Singapore Port,Pharmaceuticals,3583,4147,84,YCH,8 Bulim Ave,Singapore,China,29-Jul-24,08-Aug-24,International,0.02355116612922243
220,Malaysia Airport,Malaysia Warehouse,Furniture,99750,461,26,YCH,8 Bulim Ave,China,Malaysia,30-Jul-24,09-Aug-24,Domestic,0.031209049456251074
221,Shanghai Airport,Singapore Airport,Textiles,60234,354,6,YCH,8 Bulim Ave,China,Singapore,31-Jul-24,10-Aug-24,International,0.10545570706827431
222,Malaysia Airport,Shanghai Airport,Electronics,21706,1269,4,YCH,8 Bulim Ave,China,Singapore,01-Aug-24,11-Aug-24,Domestic,0.030580462074773135
223,Malaysia Railway Station,Singapore Airport,Furniture,81586,2416,58,YCH,8 Bulim Ave,China,Singapore,02-Aug-24,12-Aug-24,Domestic,0.06451437819697187
224,Shanghai Railway Station,Wuxi Airport,Furniture,77447,3234,87,YCH,8 Bulim Ave,Singapore,Singapore,03-Aug-24,13-Aug-24,Domestic,0.06212119089975117
225,Singapore Airport,Wuxi Airport,Textiles,22036,2967,46,YCH,8 Bulim Ave,Malaysia,Singapore,04-Aug-24,14-Aug-24,International,0.03779144748025813
226,Singapore Railway Station,Singapore Port,Textiles,56720,3127,4,YCH,8 Bulim Ave,China,Singapore,05-Aug-24,15-Aug-24,Domestic,0.14808254856303252
227,Malaysia Airport,Singapore Port,Textiles,50462,3692,37,YCH,8 Bulim Ave,China,China,06-Aug-24,16-Aug-24,Domestic,0.14124211024625172
228,Singapore Port,Malaysia Port,Electronics,62124,760,53,YCH,8 Bulim Ave,China,Malaysia,07-Aug-24,17-Aug-24,Domestic,0.07894833664519095
229,Wuxi Port,Malaysia Airport,Electronics,84473,1794,37,YCH,8 Bulim Ave,Malaysia,Malaysia,08-Aug-24,18-Aug-24,International,0.10924058379228899
230,Wuxi Warehouse,Singapore Port,Pharmaceuticals,89868,2524,18,YCH,8 Bulim Ave,Singapore,China,09-Aug-24,19-Aug-24,Domestic,0.05429177503619574
231,Shanghai Railway Station,Wuxi Railway Station,Pharmaceuticals,1642,474,82,YCH,8 Bulim Ave,Singapore,Singapore,10-Aug-24,20-Aug-24,Domestic,0.1039631408901525
232,Wuxi Port,Singapore Warehouse,Furniture,12839,3078,10,YCH,8 Bulim Ave,Singapore,China,11-Aug-24,21-Aug-24,Domestic,0.08466329183538532
233,Singapore Port,Shanghai Warehouse,Textiles,29454,3322,81,YCH,8 Bulim Ave,Malaysia,China,12-Aug-24,22-Aug-24,International,0.08419790975623374
234,Singapore Warehouse,Wuxi Railway Station,Pharmaceuticals,40623,3872,42,YCH,8 Bulim Ave,Malaysia,China,13-Aug-24,23-Aug-24,Domestic,0.05058006925700647
235,Shanghai Airport,Shanghai Warehouse,Pharmaceuticals,80655,2499,32,YCH,8 Bulim Ave,Singapore,Malaysia,14-Aug-24,24-Aug-24,International,0.1463158356295902
236,Malaysia Railway Station,Singapore Port,Electronics,33513,4741,44,YCH,8 Bulim Ave,Malaysia,China,15-Aug-24,25-Aug-24,Domestic,0.1323514063617126
237,Wuxi Port,Singapore Warehouse,Pharmaceuticals,6260,168,12,YCH,8 Bulim Ave,China,China,16-Aug-24,26-Aug-24,International,0.041842110944499675
238,Shanghai Railway Station,Shanghai Airport,Pharmaceuticals,82005,309,5,YCH,8 Bulim Ave,China,China,17-Aug-24,27-Aug-24,International,0.05032919079802605
239,Malaysia Airport,Malaysia Airport,Electronics,93036,1964,48,YCH,8 Bulim Ave,Singapore,China,18-Aug-24,28-Aug-24,International,0.033561550763492085
240,Singapore Airport,Shanghai Port,Textiles,86556,4937,22,YCH,8 Bulim Ave,Singapore,China,19-Aug-24,29-Aug-24,International,0.029996543169709726
241,Singapore Airport,Malaysia Warehouse,Textiles,75780,3421,34,YCH,8 Bulim Ave,China,Malaysia,20-Aug-24,30-Aug-24,International,0.0448202687971359
242,Singapore Railway Station,Malaysia Port,Textiles,28161,2681,42,YCH,8 Bulim Ave,China,China,21-Aug-24,31-Aug-24,International,0.12182613156816977
243,Singapore Warehouse,Singapore Railway Station,Electronics,91050,4429,35,YCH,8 Bulim Ave,China,Malaysia,22-Aug-24,01-Sep-24,Domestic,0.044499110338307425
244,Malaysia Railway Station,Singapore Railway Station,Furniture,73782,3214,3,YCH,8 Bulim Ave,Malaysia,Singapore,23-Aug-24,02-Sep-24,Domestic,0.06487123421977027
245,Malaysia Port,Malaysia Port,Textiles,82297,700,83,YCH,8 Bulim Ave,Singapore,Malaysia,24-Aug-24,03-Sep-24,International,0.10925481390391582
246,Wuxi Airport,Shanghai Port,Textiles,82217,1880,86,YCH,8 Bulim Ave,Malaysia,Singapore,25-Aug-24,04-Sep-24,Domestic,0.06975509803904756
247,Wuxi Port,Malaysia Port,Pharmaceuticals,43315,3769,60,YCH,8 Bulim Ave,Singapore,Singapore,26-Aug-24,05-Sep-24,International,0.0443642759727468
248,Singapore Warehouse,Singapore Port,Pharmaceuticals,80161,2660,26,YCH,8 Bulim Ave,China,China,27-Aug-24,06-Sep-24,International,0.0675462688878485
249,Malaysia Warehouse,Singapore Port,Pharmaceuticals,33822,2691,42,YCH,8 Bulim Ave,China,Malaysia,28-Aug-24,07-Sep-24,Domestic,0.03288607692029221
250,Malaysia Airport,Wuxi Port,Furniture,13462,3951,90,YCH,8 Bulim Ave,China,China,29-Aug-24,08-Sep-24,International,0.010967944587537304
251,Shanghai Railway Station,Shanghai Airport,Furniture,47888,503,80,YCH,8 Bulim Ave,Malaysia,Malaysia,30-Aug-24,09-Sep-24,Domestic,0.058872139783580864
252,Malaysia Airport,Shanghai Railway Station,Electronics,65282,699,75,YCH,8 Bulim Ave,Malaysia,China,31-Aug-24,10-Sep-24,International,0.011348219089025582
253,Wuxi Warehouse,Shanghai Port,Electronics,95446,322,38,YCH,8 Bulim Ave,Singapore,China,01-Sep-24,11-Sep-24,Domestic,0.12358697558945077
254,Malaysia Warehouse,Wuxi Airport,Pharmaceuticals,11416,886,79,YCH,8 Bulim Ave,China,Singapore,02-Sep-24,12-Sep-24,International,0.13318752993063365
255,Shanghai Railway Station,Malaysia Railway Station,Electronics,56177,951,57,YCH,8 Bulim Ave,Malaysia,Singapore,03-Sep-24,13-Sep-24,International,0.14515347787129865
256,Shanghai Airport,Shanghai Warehouse,Textiles,43694,506,22,YCH,8 Bulim Ave,Singapore,Malaysia,04-Sep-24,14-Sep-24,International,0.0507878013244827
257,Singapore Warehouse,Shanghai Warehouse,Electronics,35104,671,13,YCH,8 Bulim Ave,Singapore,China,05-Sep-24,15-Sep-24,Domestic,0.12350814005297692
258,Malaysia Airport,Shanghai Railway Station,Pharmaceuticals,25785,2696,82,YCH,8 Bulim Ave,Malaysia,Singapore,06-Sep-24,16-Sep-24,Domestic,0.04041560495868065
259,Malaysia Railway Station,Singapore Airport,Electronics,4355,2204,44,YCH,8 Bulim Ave,Malaysia,Malaysia,07-Sep-24,17-Sep-24,International,0.029631962765112832
260,Shanghai Railway Station,Shanghai Warehouse,Furniture,95554,2550,3,YCH,8 Bulim Ave,China,Malaysia,08-Sep-24,18-Sep-24,International,0.07088272340324107
261,Malaysia Airport,Wuxi Airport,Electronics,2179,2707,60,YCH,8 Bulim Ave,Malaysia,Singapore,09-Sep-24,19-Sep-24,Domestic,0.0262842948281291
262,Shanghai Airport,Wuxi Airport,Textiles,15522,2877,6,YCH,8 Bulim Ave,China,Malaysia,10-Sep-24,20-Sep-24,Domestic,0.10512322007644338
263,Wuxi Warehouse,Malaysia Railway Station,Furniture,46598,1205,77,YCH,8 Bulim Ave,China,Malaysia,11-Sep-24,21-Sep-24,Domestic,0.018452334263712247
264,Singapore Warehouse,Singapore Airport,Pharmaceuticals,27010,4848,77,YCH,8 Bulim Ave,Malaysia,China,12-Sep-24,22-Sep-24,Domestic,0.049846152169539325
265,Wuxi Warehouse,Shanghai Port,Electronics,94097,4943,22,YCH,8 Bulim Ave,China,China,13-Sep-24,23-Sep-24,International,0.10921366698544961
266,Malaysia Port,Wuxi Railway Station,Pharmaceuticals,11240,568,20,YCH,8 Bulim Ave,China,China,14-Sep-24,24-Sep-24,Domestic,0.07653080667812719
267,Singapore Port,Wuxi Airport,Electronics,86342,224,74,YCH,8 Bulim Ave,Singapore,China,15-Sep-24,25-Sep-24,International,0.10222037015679425
268,Shanghai Airport,Shanghai Airport,Textiles,91779,2708,23,YCH,8 Bulim Ave,Malaysia,China,16-Sep-24,26-Sep-24,Domestic,0.03202987303516493
269,Malaysia Warehouse,Wuxi Railway Station,Electronics,9223,384,22,YCH,8 Bulim Ave,Singapore,Malaysia,17-Sep-24,27-Sep-24,International,0.11603919403579652
270,Shanghai Airport,Shanghai Airport,Pharmaceuticals,11911,4578,57,YCH,8 Bulim Ave,Malaysia,Malaysia,18-Sep-24,28-Sep-24,Domestic,0.11777509512455306
271,Wuxi Railway Station,Shanghai Airport,Pharmaceuticals,58826,2633,65,YCH,8 Bulim Ave,Singapore,Singapore,19-Sep-24,29-Sep-24,International,0.09730570989404844
272,Singapore Airport,Malaysia Warehouse,Textiles,84074,2543,17,YCH,8 Bulim Ave,Malaysia,Malaysia,20-Sep-24,30-Sep-24,International,0.09694604399598378
273,Singapore Warehouse,Wuxi Port,Electronics,69092,4132,13,YCH,8 Bulim Ave,China,Singapore,21-Sep-24,01-Oct-24,International,0.061368235658676516
274,Wuxi Airport,Shanghai Railway Station,Pharmaceuticals,62206,3209,7,YCH,8 Bulim Ave,Singapore,Singapore,22-Sep-24,02-Oct-24,International,0.09320065860210722
275,Shanghai Railway Station,Singapore Airport,Pharmaceuticals,7658,4790,30,YCH,8 Bulim Ave,Singapore,Singapore,23-Sep-24,03-Oct-24,International,0.11179585561927366
276,Malaysia Port,Wuxi Warehouse,Electronics,29885,4347,31,YCH,8 Bulim Ave,China,China,24-Sep-24,04-Oct-24,International,0.05746585187724841
277,Singapore Port,Shanghai Railway Station,Pharmaceuticals,42184,931,15,YCH,8 Bulim Ave,Malaysia,Singapore,25-Sep-24,05-Oct-24,International,0.04604975529449178
278,Wuxi Warehouse,Malaysia Airport,Textiles,2267,3108,5,YCH,8 Bulim Ave,China,Malaysia,26-Sep-24,06-Oct-24,Domestic,0.13392045800028646
279,Singapore Port,Singapore Warehouse,Pharmaceuticals,97482,3020,93,YCH,8 Bulim Ave,China,China,27-Sep-24,07-Oct-24,Domestic,0.07448898647491202
280,Singapore Railway Station,Malaysia Railway Station,Pharmaceuticals,83757,872,30,YCH,8 Bulim Ave,Singapore,China,28-Sep-24,08-Oct-24,International,0.08904230944880485
281,Wuxi Warehouse,Malaysia Warehouse,Electronics,29310,2676,80,YCH,8 Bulim Ave,China,Malaysia,29-Sep-24,09-Oct-24,Domestic,0.10938249428543173
282,Singapore Port,Shanghai Airport,Furniture,29507,3220,50,YCH,8 Bulim Ave,Singapore,China,30-Sep-24,10-Oct-24,International,0.10989632364604629
283,Shanghai Airport,Malaysia Railway Station,Furniture,13281,2936,13,YCH,8 Bulim Ave,China,Malaysia,01-Oct-24,11-Oct-24,International,0.14916764045378555
284,Wuxi Railway Station,Wuxi Railway Station,Pharmaceuticals,49035,3891,25,YCH,8 Bulim Ave,Malaysia,Singapore,02-Oct-24,12-Oct-24,Domestic,0.1452769335763082
285,Shanghai Airport,Shanghai Warehouse,Electronics,53322,3178,71,YCH,8 Bulim Ave,Singapore,Malaysia,03-Oct-24,13-Oct-24,Domestic,0.010969631396002537
286,Shanghai Warehouse,Malaysia Railway Station,Pharmaceuticals,99043,4158,44,YCH,8 Bulim Ave,Malaysia,China,04-Oct-24,14-Oct-24,Domestic,0.04885250311778941
287,Shanghai Port,Wuxi Warehouse,Pharmaceuticals,82743,167,70,YCH,8 Bulim Ave,China,Malaysia,05-Oct-24,15-Oct-24,International,0.021440153730074765
288,Singapore Airport,Shanghai Railway Station,Furniture,96410,2686,53,YCH,8 Bulim Ave,Singapore,China,06-Oct-24,16-Oct-24,International,0.0941110924573742
289,Wuxi Port,Shanghai Railway Station,Electronics,41101,1997,57,YCH,8 Bulim Ave,Singapore,China,07-Oct-24,17-Oct-24,International,0.07638133571028159
290,Malaysia Port,Shanghai Port,Furniture,25138,2084,3,YCH,8 Bulim Ave,Singapore,China,08-Oct-24,18-Oct-24,International,0.08219181405081577
291,Singapore Warehouse,Singapore Warehouse,Furniture,50113,1984,78,YCH,8 Bulim Ave,Malaysia,China,09-Oct-24,19-Oct-24,Domestic,0.03718720614412834
292,Shanghai Warehouse,Wuxi Railway Station,Pharmaceuticals,90628,2972,27,YCH,8 Bulim Ave,Malaysia,Singapore,10-Oct-24,20-Oct-24,International,0.10960012953434335
293,Shanghai Railway Station,Wuxi Railway Station,Pharmaceuticals,53408,3167,94,YCH,8 Bulim Ave,Malaysia,Singapore,11-Oct-24,21-Oct-24,International,0.11735339251612506
294,Shanghai Warehouse,Singapore Warehouse,Pharmaceuticals,53645,1566,90,YCH,8 Bulim Ave,Singapore,Singapore,12-Oct-24,22-Oct-24,Domestic,0.11125821790105983
295,Malaysia Warehouse,Shanghai Warehouse,Furniture,47518,2786,74,YCH,8 Bulim Ave,China,Singapore,13-Oct-24,23-Oct-24,Domestic,0.14731726831323635
296,Wuxi Port,Malaysia Airport,Pharmaceuticals,18602,369,34,YCH,8 Bulim Ave,China,Singapore,14-Oct-24,24-Oct-24,International,0.13867353950183142
297,Malaysia Port,Wuxi Airport,Furniture,74647,2540,31,YCH,8 Bulim Ave,China,Malaysia,15-Oct-24,25-Oct-24,Domestic,0.07673482952961518
298,Wuxi Port,Shanghai Warehouse,Textiles,70817,50,97,YCH,8 Bulim Ave,Malaysia,Malaysia,16-Oct-24,26-Oct-24,International,0.06469962124715929
299,Malaysia Port,Shanghai Port,Textiles,95890,1348,39,YCH,8 Bulim Ave,Singapore,Malaysia,17-Oct-24,27-Oct-24,International,0.067175250811087
300,Malaysia Airport,Singapore Warehouse,Textiles,14227,2236,71,YCH,8 Bulim Ave,China,China,18-Oct-24,28-Oct-24,Domestic,0.0616580265551575
301,Wuxi Railway Station,Singapore Warehouse,Electronics,53615,1379,89,YCH,8 Bulim Ave,Singapore,Malaysia,19-Oct-24,29-Oct-24,International,0.14264650199037038
302,Wuxi Airport,Wuxi Railway Station,Pharmaceuticals,78091,4143,83,YCH,8 Bulim Ave,China,Malaysia,20-Oct-24,30-Oct-24,International,0.052448771775941774
303,Shanghai Warehouse,Singapore Airport,Furniture,60727,868,81,YCH,8 Bulim Ave,China,China,21-Oct-24,31-Oct-24,Domestic,0.1241871965483677
304,Malaysia Warehouse,Wuxi Warehouse,Pharmaceuticals,87546,1680,42,YCH,8 Bulim Ave,Singapore,Singapore,22-Oct-24,01-Nov-24,Domestic,0.03053043202235676
305,Wuxi Port,Malaysia Railway Station,Pharmaceuticals,93576,4078,58,YCH,8 Bulim Ave,China,Malaysia,23-Oct-24,02-Nov-24,Domestic,0.06398653570321498
306,Wuxi Warehouse,Malaysia Warehouse,Furniture,13451,1411,57,YCH,8 Bulim Ave,China,Malaysia,24-Oct-24,03-Nov-24,International,0.01751210472561151
307,Wuxi Railway Station,Singapore Warehouse,Pharmaceuticals,77456,1933,80,YCH,8 Bulim Ave,China,Malaysia,25-Oct-24,04-Nov-24,International,0.08247795032069173
308,Shanghai Warehouse,Singapore Airport,Textiles,11436,4320,36,YCH,8 Bulim Ave,Singapore,Malaysia,26-Oct-24,05-Nov-24,International,0.05052934124307417
309,Wuxi Railway Station,Singapore Port,Electronics,94488,3416,88,YCH,8 Bulim Ave,Malaysia,Malaysia,27-Oct-24,06-Nov-24,Domestic,0.1487325935175122
310,Shanghai Railway Station,Malaysia Warehouse,Furniture,35150,2219,41,YCH,8 Bulim Ave,Malaysia,China,28-Oct-24,07-Nov-24,International,0.026407456361530586
311,Malaysia Warehouse,Singapore Airport,Furniture,32694,2253,72,YCH,8 Bulim Ave,China,Singapore,29-Oct-24,08-Nov-24,Domestic,0.12214152199186654
312,Shanghai Railway Station,Wuxi Port,Electronics,95013,3150,58,YCH,8 Bulim Ave,Singapore,China,30-Oct-24,09-Nov-24,Domestic,0.1330086770501047
313,Singapore Port,Malaysia Airport,Furniture,91456,589,48,YCH,8 Bulim Ave,China,China,31-Oct-24,10-Nov-24,International,0.034317789172096734
314,Malaysia Railway Station,Singapore Port,Textiles,63664,3966,54,YCH,8 Bulim Ave,Malaysia,China,01-Nov-24,11-Nov-24,Domestic,0.017703963840835103
315,Singapore Warehouse,Wuxi Railway Station,Electronics,33611,718,19,YCH,8 Bulim Ave,China,China,02-Nov-24,12-Nov-24,International,0.08309387675371613
316,Singapore Railway Station,Wuxi Railway Station,Pharmaceuticals,68995,1136,31,YCH,8 Bulim Ave,Malaysia,China,03-Nov-24,13-Nov-24,International,0.05450867930425319
317,Wuxi Airport,Shanghai Warehouse,Electronics,9544,2335,50,YCH,8 Bulim Ave,Malaysia,China,04-Nov-24,14-Nov-24,Domestic,0.07485315779093064
318,Shanghai Port,Singapore Port,Textiles,53258,3490,22,YCH,8 Bulim Ave,Malaysia,Singapore,05-Nov-24,15-Nov-24,International,0.13247826982277605
319,Wuxi Railway Station,Shanghai Warehouse,Pharmaceuticals,25468,767,17,YCH,8 Bulim Ave,Malaysia,China,06-Nov-24,16-Nov-24,International,0.07834315185783247
320,Wuxi Warehouse,Shanghai Warehouse,Pharmaceuticals,93463,4549,98,YCH,8 Bulim Ave,China,Singapore,07-Nov-24,17-Nov-24,Domestic,0.08511231142151313
321,Wuxi Warehouse,Singapore Port,Pharmaceuticals,16472,1657,74,YCH,8 Bulim Ave,China,Malaysia,08-Nov-24,18-Nov-24,International,0.04173404589267682
322,Singapore Airport,Malaysia Warehouse,Pharmaceuticals,56196,3132,12,YCH,8 Bulim Ave,Singapore,Singapore,09-Nov-24,19-Nov-24,Domestic,0.08195880643034492
323,Malaysia Railway Station,Wuxi Airport,Textiles,73533,848,7,YCH,8 Bulim Ave,Singapore,Singapore,10-Nov-24,20-Nov-24,International,0.04493319145930167
